จังหวัด, PM2.5, วันที่
ตาก,27.774628388618115,2024-12-31
ตาก,29.38109135322238,2025-01-01
ตาก,30.779648461515205,2025-01-02
ตาก,26.300768646071383,2025-01-03
ตาก,31.39631610804984,2025-01-04
ตาก,38.88338248260203,2025-01-05
ตาก,43.92296333489522,2025-01-06
ตาก,48.56389325003362,2025-01-07
ตาก,53.10021513497705,2025-01-08
ตาก,52.03146799505123,2025-01-09
ตาก,40.23879211214211,2025-01-10
ตาก,30.866120862934697,2025-01-11
ตาก,35.06284476253769,2025-01-12
ตาก,39.587423913686685,2025-01-13
ตาก,45.702501339906476,2025-01-14
ตาก,47.125750364332355,2025-01-15
ตาก,35.934634348756724,2025-01-16
ตาก,29.823341849749827,2025-01-17
ตาก,35.572763480020875,2025-01-18
ตาก,43.25440957744441,2025-01-19
ตาก,50.30855839614368,2025-01-20
ตาก,55.91618383406386,2025-01-21
ตาก,55.19038990174019,2025-01-22
ตาก,60.1304102543912,2025-01-23
ตาก,60.72569743156826,2025-01-24
ตาก,54.04046376936677,2025-01-25
ตาก,49.51810001492271,2025-01-26
ตาก,37.29352126932366,2025-01-27
ตาก,34.01512125525449,2025-01-28
ตาก,38.52850187687444,2025-01-29
ตาก,43.411509322116366,2025-01-30
ตาก,71.02851289146464,2025-01-31
เลย,32.35168670113528,2024-12-31
เลย,37.918770721108544,2025-01-01
เลย,36.97109397305847,2025-01-02
เลย,37.75428164227201,2025-01-03
เลย,46.56558373953469,2025-01-04
เลย,53.37416332502447,2025-01-05
เลย,54.99767238968383,2025-01-06
เลย,57.75416770427588,2025-01-07
เลย,60.116126828815524,2025-01-08
เลย,47.931029230627615,2025-01-09
เลย,36.52159464172147,2025-01-10
เลย,30.65037970334015,2025-01-11
เลย,43.08882200440705,2025-01-12
เลย,45.42726808733849,2025-01-13
เลย,54.410559913065185,2025-01-14
เลย,44.47635693050408,2025-01-15
เลย,33.80285217586642,2025-01-16
เลย,38.35556894276166,2025-01-17
เลย,50.12656406258982,2025-01-18
เลย,53.0807034042366,2025-01-19
เลย,59.57411325411379,2025-01-20
เลย,66.82527338850258,2025-01-21
เลย,61.277767641991396,2025-01-22
เลย,62.97404373562838,2025-01-23
เลย,68.39412959266316,2025-01-24
เลย,65.03627567257382,2025-01-25
เลย,58.172582318553296,2025-01-26
เลย,19.982462190358547,2025-01-27
เลย,32.50337482216023,2025-01-28
เลย,40.55551324860218,2025-01-29
เลย,45.10211916267003,2025-01-30
เลย,67.41931361274439,2025-01-31
ตรัง,25.19094812979749,2024-12-31
ตรัง,27.022437085901572,2025-01-01
ตรัง,27.145530321226964,2025-01-02
ตรัง,33.583019654631634,2025-01-03
ตรัง,25.684179821982553,2025-01-04
ตรัง,32.582010853984734,2025-01-05
ตรัง,35.30699389599977,2025-01-06
ตรัง,42.90483603157752,2025-01-07
ตรัง,46.78615376237986,2025-01-08
ตรัง,36.76906863638361,2025-01-09
ตรัง,32.4539116515389,2025-01-10
ตรัง,23.340604025511755,2025-01-11
ตรัง,22.391035331425,2025-01-12
ตรัง,36.32105774278733,2025-01-13
ตรัง,34.992689913258545,2025-01-14
ตรัง,35.99803143553035,2025-01-15
ตรัง,26.849524680917103,2025-01-16
ตรัง,26.98129530755248,2025-01-17
ตรัง,38.07729089378265,2025-01-18
ตรัง,40.79921891041602,2025-01-19
ตรัง,52.33888274965773,2025-01-20
ตรัง,52.579081619894374,2025-01-21
ตรัง,42.4451511279132,2025-01-22
ตรัง,40.39269300704097,2025-01-23
ตรัง,38.792074771350656,2025-01-24
ตรัง,31.41495752573372,2025-01-25
ตรัง,31.767345948455706,2025-01-26
ตรัง,21.698510228520476,2025-01-27
ตรัง,27.328883349648027,2025-01-28
ตรัง,34.65367364345212,2025-01-29
ตรัง,35.87213639547094,2025-01-30
ตรัง,64.34884878660579,2025-01-31
ตราด,27.20609027717005,2024-12-31
ตราด,29.957546200974857,2025-01-01
ตราด,33.350122820659365,2025-01-02
ตราด,36.77415771114677,2025-01-03
ตราด,35.10476582447017,2025-01-04
ตราด,36.37253647957592,2025-01-05
ตราด,37.40494442805939,2025-01-06
ตราด,40.18351449675175,2025-01-07
ตราด,48.10840234154849,2025-01-08
ตราด,43.50728335392924,2025-01-09
ตราด,28.212807832352965,2025-01-10
ตราด,26.81529527533395,2025-01-11
ตราด,31.230936423110187,2025-01-12
ตราด,34.62252444887045,2025-01-13
ตราด,47.28342550665883,2025-01-14
ตราด,43.127493069457444,2025-01-15
ตราด,24.082824144630308,2025-01-16
ตราด,30.505924815517982,2025-01-17
ตราด,45.49681597700901,2025-01-18
ตราด,50.55432032550018,2025-01-19
ตราด,47.64651416456147,2025-01-20
ตราด,58.853027837793455,2025-01-21
ตราด,66.26036698948329,2025-01-22
ตราด,74.12583627724096,2025-01-23
ตราด,71.34655295968759,2025-01-24
ตราด,63.979159067464515,2025-01-25
ตราด,65.13005011723428,2025-01-26
ตราด,49.56039703429331,2025-01-27
ตราด,51.79401069762148,2025-01-28
ตราด,53.90296177513847,2025-01-29
ตราด,51.845260112248205,2025-01-30
ตราด,61.198063766561916,2025-01-31
น่าน,33.5705333391718,2024-12-31
น่าน,37.569947165605925,2025-01-01
น่าน,33.23442187432964,2025-01-02
น่าน,34.849791335868744,2025-01-03
น่าน,39.53540415998027,2025-01-04
น่าน,50.439223927408506,2025-01-05
น่าน,49.7906583763762,2025-01-06
น่าน,49.571295480640735,2025-01-07
น่าน,53.02624488648276,2025-01-08
น่าน,56.11232030723078,2025-01-09
น่าน,46.75983155033587,2025-01-10
น่าน,44.601727213308884,2025-01-11
น่าน,43.06507997181601,2025-01-12
น่าน,42.302568379101295,2025-01-13
น่าน,46.3592943567436,2025-01-14
น่าน,44.713587727151264,2025-01-15
น่าน,47.34557518852557,2025-01-16
น่าน,42.845204840081095,2025-01-17
น่าน,43.36339933442114,2025-01-18
น่าน,43.53855775086859,2025-01-19
น่าน,48.29720301193597,2025-01-20
น่าน,53.34334898424225,2025-01-21
น่าน,54.99024349036615,2025-01-22
น่าน,54.53842652590137,2025-01-23
น่าน,56.518897962015764,2025-01-24
น่าน,57.4951164508193,2025-01-25
น่าน,60.21145777954948,2025-01-26
น่าน,42.69697638288114,2025-01-27
น่าน,38.552938455691944,2025-01-28
น่าน,47.884006230400516,2025-01-29
น่าน,47.547539739264124,2025-01-30
น่าน,67.65888982545682,2025-01-31
ยะลา,26.508333296503487,2024-12-31
ยะลา,24.944269362059035,2025-01-01
ยะลา,27.430723982681336,2025-01-02
ยะลา,29.20437371889991,2025-01-03
ยะลา,21.538267203129713,2025-01-04
ยะลา,33.810515168932604,2025-01-05
ยะลา,30.23514009014141,2025-01-06
ยะลา,43.2436787602749,2025-01-07
ยะลา,45.04312614901563,2025-01-08
ยะลา,40.48988443754606,2025-01-09
ยะลา,31.575007409132294,2025-01-10
ยะลา,28.087420783651996,2025-01-11
ยะลา,26.471492909033334,2025-01-12
ยะลา,35.87173045674834,2025-01-13
ยะลา,36.87535395898064,2025-01-14
ยะลา,44.708647206576515,2025-01-15
ยะลา,26.933527538420325,2025-01-16
ยะลา,23.72218285760252,2025-01-17
ยะลา,38.37882410165397,2025-01-18
ยะลา,56.278493427363536,2025-01-19
ยะลา,60.53647022050715,2025-01-20
ยะลา,55.41949761767521,2025-01-21
ยะลา,45.116088571843136,2025-01-22
ยะลา,40.468995660617615,2025-01-23
ยะลา,46.86598522495957,2025-01-24
ยะลา,40.6826063946617,2025-01-25
ยะลา,32.98756356682725,2025-01-26
ยะลา,24.715779718205617,2025-01-27
ยะลา,28.578747896015695,2025-01-28
ยะลา,35.3612147708963,2025-01-29
ยะลา,35.679094847186185,2025-01-30
ยะลา,64.3026345019828,2025-01-31
สตูล,22.076090141306036,2024-12-31
สตูล,23.350409119724713,2025-01-01
สตูล,26.134710641912612,2025-01-02
สตูล,24.942154033208773,2025-01-03
สตูล,19.232282761438846,2025-01-04
สตูล,20.082953173489948,2025-01-05
สตูล,27.486779699772146,2025-01-06
สตูล,40.515057973575246,2025-01-07
สตูล,39.75505970927568,2025-01-08
สตูล,27.860527297005042,2025-01-09
สตูล,28.677679850881358,2025-01-10
สตูล,21.172803687344942,2025-01-11
สตูล,22.711476816203227,2025-01-12
สตูล,36.751226194202644,2025-01-13
สตูล,31.25086506561486,2025-01-14
สตูล,38.88872575697057,2025-01-15
สตูล,24.48433408761791,2025-01-16
สตูล,21.254186581756173,2025-01-17
สตูล,38.062054820164356,2025-01-18
สตูล,43.53747977698647,2025-01-19
สตูล,57.26581974137885,2025-01-20
สตูล,49.015722079035065,2025-01-21
สตูล,37.93917753346238,2025-01-22
สตูล,36.62676081340464,2025-01-23
สตูล,39.08995245032918,2025-01-24
สตูล,29.939784059452187,2025-01-25
สตูล,24.618481332729072,2025-01-26
สตูล,17.457375654742354,2025-01-27
สตูล,25.050911125596734,2025-01-28
สตูล,32.72840132824214,2025-01-29
สตูล,33.212824626150706,2025-01-30
สตูล,64.61799453258264,2025-01-31
แพร่,25.616687796811977,2024-12-31
แพร่,29.830738348259242,2025-01-01
แพร่,27.35701346229511,2025-01-02
แพร่,25.831859933662525,2025-01-03
แพร่,29.574308338548285,2025-01-04
แพร่,41.40168094746062,2025-01-05
แพร่,44.00631672373718,2025-01-06
แพร่,42.93594028957168,2025-01-07
แพร่,47.05474060020163,2025-01-08
แพร่,54.84673417801825,2025-01-09
แพร่,42.59490953681561,2025-01-10
แพร่,36.47250622533568,2025-01-11
แพร่,36.28789169458341,2025-01-12
แพร่,35.752488897324305,2025-01-13
แพร่,41.96650215724171,2025-01-14
แพร่,39.87957544037413,2025-01-15
แพร่,37.661264711273546,2025-01-16
แพร่,33.26145889350416,2025-01-17
แพร่,33.80308033123179,2025-01-18
แพร่,38.6418620464377,2025-01-19
แพร่,44.72835599229615,2025-01-20
แพร่,49.88515397291865,2025-01-21
แพร่,50.228486430953915,2025-01-22
แพร่,51.198124193655,2025-01-23
แพร่,54.325008978251965,2025-01-24
แพร่,48.41489886877654,2025-01-25
แพร่,50.0601268221598,2025-01-26
แพร่,43.30376473333893,2025-01-27
แพร่,31.190788212112597,2025-01-28
แพร่,47.13891089478949,2025-01-29
แพร่,46.069493180331165,2025-01-30
แพร่,71.69885194695681,2025-01-31
ชุมพร,20.11487410944765,2024-12-31
ชุมพร,23.283738047080377,2025-01-01
ชุมพร,22.278511508789514,2025-01-02
ชุมพร,24.789735693578404,2025-01-03
ชุมพร,24.4329797814907,2025-01-04
ชุมพร,23.370868621536196,2025-01-05
ชุมพร,25.055087699671027,2025-01-06
ชุมพร,29.784087768009254,2025-01-07
ชุมพร,27.368957952731026,2025-01-08
ชุมพร,27.218379808002073,2025-01-09
ชุมพร,26.704487592920774,2025-01-10
ชุมพร,20.961714039448832,2025-01-11
ชุมพร,22.918678111135197,2025-01-12
ชุมพร,31.19478170402699,2025-01-13
ชุมพร,26.84154187899761,2025-01-14
ชุมพร,32.18736708334718,2025-01-15
ชุมพร,18.45119815991958,2025-01-16
ชุมพร,18.97586568299101,2025-01-17
ชุมพร,23.793699302199393,2025-01-18
ชุมพร,29.895702440998463,2025-01-19
ชุมพร,33.28388878711383,2025-01-20
ชุมพร,31.067152415100196,2025-01-21
ชุมพร,31.202221977967117,2025-01-22
ชุมพร,29.287785100915237,2025-01-23
ชุมพร,24.13749109468642,2025-01-24
ชุมพร,26.095108669532074,2025-01-25
ชุมพร,23.685897860856148,2025-01-26
