จังหวัด, PM2.5, วันที่
ตาก,33.89754662911059,2024-01-01
ตาก,26.50239732771378,2024-01-02
ตาก,31.795098488806,2024-01-03
ตาก,31.475316218330473,2024-01-04
ตาก,31.659653179819088,2024-01-05
ตาก,35.20518833112442,2024-01-06
ตาก,40.86639809382819,2024-01-07
ตาก,44.863538551743815,2024-01-08
ตาก,46.32348594579697,2024-01-09
ตาก,51.356117852863896,2024-01-10
ตาก,52.36436935129539,2024-01-11
ตาก,45.411025808862085,2024-01-12
ตาก,46.124512638776096,2024-01-13
ตาก,40.776179098186056,2024-01-14
ตาก,36.06548679833378,2024-01-15
ตาก,28.83881965203546,2024-01-16
ตาก,31.046346019228654,2024-01-17
ตาก,39.57560185010764,2024-01-18
ตาก,39.52289849516423,2024-01-19
ตาก,35.958490682896105,2024-01-20
ตาก,34.92779917945245,2024-01-21
ตาก,44.192819809902964,2024-01-22
ตาก,54.86161409708785,2024-01-23
ตาก,49.37752737679187,2024-01-24
ตาก,47.8032498621632,2024-01-25
ตาก,45.36405489530599,2024-01-26
ตาก,42.161595807687284,2024-01-27
ตาก,43.71119232252985,2024-01-28
ตาก,34.06956445674332,2024-01-29
ตาก,33.67431686139716,2024-01-30
ตาก,22.18937099261909,2024-01-31
เลย,24.519253977254746,2024-01-01
เลย,21.59780986108022,2024-01-02
เลย,28.00070950185027,2024-01-03
เลย,18.972473197080475,2024-01-04
เลย,21.457474406240138,2024-01-05
เลย,24.856341102114037,2024-01-06
เลย,29.29329469953963,2024-01-07
เลย,31.99703964860198,2024-01-08
เลย,37.838380498073775,2024-01-09
เลย,42.946231689590526,2024-01-10
เลย,40.72180744127695,2024-01-11
เลย,41.536808222652915,2024-01-12
เลย,35.36504914786188,2024-01-13
เลย,23.442567072759537,2024-01-14
เลย,22.844792915009297,2024-01-15
เลย,18.96139536578771,2024-01-16
เลย,21.865194637830438,2024-01-17
เลย,32.925782768440385,2024-01-18
เลย,41.39359367728469,2024-01-19
เลย,43.591072732559205,2024-01-20
เลย,49.646078753214375,2024-01-21
เลย,45.82757064256558,2024-01-22
เลย,28.31040256890304,2024-01-23
เลย,20.597567594973768,2024-01-24
เลย,28.54061763682816,2024-01-25
เลย,26.010788069288726,2024-01-26
เลย,21.87016686283359,2024-01-27
เลย,24.54622508727534,2024-01-28
เลย,17.20708146477042,2024-01-29
เลย,26.878596427727718,2024-01-30
เลย,33.768270184497815,2024-01-31
ตรัง,28.068600376724238,2024-01-01
ตรัง,22.76148899550347,2024-01-02
ตรัง,22.044372495358957,2024-01-03
ตรัง,21.082244556330505,2024-01-04
ตรัง,22.221337019444537,2024-01-05
ตรัง,23.347291363041546,2024-01-06
ตรัง,27.60804734131031,2024-01-07
ตรัง,24.957524521221824,2024-01-08
ตรัง,26.29920684768049,2024-01-09
ตรัง,27.120331480580255,2024-01-10
ตรัง,25.13617536505517,2024-01-11
